,day,hour,tp,vessel,V2,V4,V7,V8,tp2,tp3,tp4
D1H8V1,1,8,1,1,0,0,0,0,0,0,0
D1H8V2,1,8,1,2,1,0,0,0,0,0,0
D1H8V4,1,8,1,4,0,1,0,0,0,0,0
D1H8V7,1,8,1,7,0,0,1,0,0,0,0
D1H8V8,1,8,1,8,0,0,0,1,0,0,0
D1H16V1,1,16,2,1,0,0,0,0,1,0,0
D1H16V2,1,16,2,2,1,0,0,0,1,0,0
D1H16V4,1,16,2,4,0,1,0,0,1,0,0
D1H16V7,1,16,2,7,0,0,1,0,1,0,0
D1H16V8,1,16,2,8,0,0,0,1,1,0,0
D2H8V1,2,8,3,1,0,0,0,0,1,1,0
D2H8V2,2,8,3,2,1,0,0,0,1,1,0
D2H8V4,2,8,3,4,0,1,0,0,1,1,0
D2H8V7,2,8,3,7,0,0,1,0,1,1,0
D2H8V8,2,8,3,8,0,0,0,1,1,1,0
D2H16V1,2,16,4,1,0,0,0,0,1,1,1
D2H16V2,2,16,4,2,1,0,0,0,1,1,1
D2H16V4,2,16,4,4,0,1,0,0,1,1,1
D2H16V7,2,16,4,7,0,0,1,0,1,1,1
D2H16V8,2,16,4,8,0,0,0,1,1,1,1
